stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
494,1461,QUEEN'S PARK CRES WEST AT QUEEN'S PARK CRES WEST,,43.666243,-79.393232,,,,
495,1463,QUEEN'S PARK CRES WEST AT UNIVERSITY LIBRARY,,43.662147,-79.392763,,,,
496,12139,THE QUEENSWAY AT MORGAN AVE,,43.626433,-79.501778,,,,
497,6920,THE QUEENSWAY AT STEPHEN DR,,43.6305,-79.483964,,,,
498,6923,THE QUEENSWAY AT WINDERMERE AVE WEST SIDE,,43.637292,-79.470393,,,,
500,6011,RATHBURN RD AT LLOYD MANOR RD,,43.659178,-79.546344,,,,
501,10880,REDPATH AVE AT BROADWAY AVE,,43.710483,-79.393722,,,,
502,11109,REDPATH AVE AT BROADWAY AVE,,43.710705,-79.393961,,,,
503,10878,REDPATH AVE AT EGLINTON AVE EAST NORTH SIDE,,43.708177,-79.392858,,,,
504,11123,REDPATH AVE AT EGLINTON AVE EAST,,43.708101,-79.392946,,,,
505,11122,REDPATH AVE AT ERSKINE AVE SOUTH SIDE,,43.711545,-79.39431,,,,
506,10881,REDPATH AVE AT ERSKINE AVE,,43.711914,-79.394291,,,,
507,10879,REDPATH AVE AT ROEHAMPTON AVE,,43.708968,-79.393142,,,,
508,11110,REDPATH AVE AT ROEHAMPTON AVE,,43.70918,-79.393352,,,,
509,12147,RENFORTH DR AT EGLINTON AVE WEST NORTH SIDE,,43.666387,-79.588328,,,,
510,8069,RENFORTH DR AT EGLINTON AVE WEST,,43.666088,-79.587268,,,,
511,8068,RENFORTH DR AT EGLINTON AVE WEST,,43.665741,-79.586296,,,,
514,11346,RICHMOND ST EAST AT JARVIS ST WEST SIDE,,43.652795,-79.374011,,,,
515,11319,RICHMOND ST EAST AT SHERBOURNE ST WEST SIDE,,43.653374,-79.369571,,,,
520,6031,ROGERS RD AT KEELE ST,,43.682206,-79.471323,,,,
522,6991,ROYAL YORK RD AT DIXON RD,,43.699605,-79.533988,,,,
523,12175,ROYAL YORK RD AT EGLINTON AVE WEST SOUTH SIDE,,43.681697,-79.526473,,,,
526,8082,SENTINEL RD AT FINCH AVE WEST,,43.761209,-79.500212,,,,
527,4498,SENTINEL RD AT THE POND RD,,43.769829,-79.502291,,,,
528,10870,SEWELLS RD AT BRENYON WAY EAST SIDE,,43.807967,-79.215044,,,,
529,10873,SEWELLS RD AT BRENYON WAY,,43.807901,-79.215487,,,,
530,10871,SEWELLS RD AT MCLEVIN AVE,,43.810289,-79.213814,,,,
532,7172,SHEPPARD AVE EAST AT COMMONS DR,,43.775724,-79.320561,,,,
533,11025,SHEPPARD AVE EAST AT COMMONS DR,,43.775635,-79.320971,,,,
534,11669,SHEPPARD AVE EAST AT MEADOWVALE RD,,43.808213,-79.171123,,,,
535,13918,SHEPPARD AVE EAST AT VICTORIA PARK AVE EAST SIDE,,43.775339,-79.322281,,,,
536,6069,SHEPPARD AVE WEST AT JANE ST EAST SIDE,,43.739397,-79.512628,,,,
537,6087,SHEPPARD AVE WEST AT SENTINEL RD,,43.743789,-79.491656,,,,
538,4598,SHEPPARD AVE AT WILLIAM R ALLEN RD WEST SIDE,,43.750274,-79.463881,,,,
540,3117,SHERWAY GARDENS RD AT SHERWAY GATE (MALL),,43.609782,-79.558227,,,,
541,9108,SHERWAY GARDENS RD AT SHERWAY GATE (MALL) WEST SIDE,,43.609988,-79.558424,,,,
542,9109,SHERWAY GARDENS RD AT SHERWAY GATE (MALL),,43.609813,-79.558011,,,,
543,11587,SHERWAY GARDENS RD AT SHERWAY GATE MALL),,43.609821,-79.557944,,,,
549,1262,MAIN ST AT DANFORTH AVE,,43.688037,-79.301649,,,,
550,11826,MAIN ST AT DANFORTH AVE,,43.687792,-79.301554,,,,
551,2855,MAIN ST AT DONCASTER AVE,,43.691558,-79.303272,,,,
552,1264,MAIN ST AT GERRARD ST EAST,,43.684059,-79.300281,,,,
553,13923,MAIN ST AT GERRARD ST EAST,,43.684172,-79.300296,,,,
556,11990,EXHIBITION LOOP,,43.636249,-79.415189,,,,
557,11989,EXHIBITION LOOP,,43.636349,-79.414989,,,,
558,13900,MARKHAM RD AT PASSMORE AVE NORTH SIDE,,43.831144,-79.250629,,,,
560,11331,MARTIN GROVE RD AT FINCH AVE WEST NORTH SIDE,,43.737216,-79.591718,,,,
561,5620,MARTIN GROVE RD AT JOHN GARLAND BLVD,,43.731898,-79.589165,,,,
562,5627,MARTIN GROVE RD AT MERCURY RD,,43.726119,-79.586874,,,,
563,7957,WESTHUMBER BLVD AT MARTIN GROVE RD NORTH SIDE,,43.726341,-79.586709,,,,
564,1286,2061 MCCOWAN RD,,43.795412,-79.261115,,,,
565,777,MCCOWAN RD AT BUSHBY DR NORTH SIDE,,43.775002,-79.252211,,,,
566,9993,MCCOWAN RD AT ELSON ST,,43.834942,-79.276072,,,,
567,9807,MCCOWAN RD AT STEELES AVE EAST NORTH SIDE,,43.831766,-79.275242,,,,
568,10577,MCCOWAN AVE AT STEELES AVE EAST SOUTH SIDE,,43.830332,-79.275138,,,,
569,9616,MCCOWAN RD AT TOWN CENTRE CRT,,43.774822,-79.252569,,,,
570,2874,1020 MCNICOLL AVE,,43.804161,-79.333395,,,,
571,12017,MCNICOLL AVE AT SILVER SPRINGS BLVD,,43.809917,-79.30648,,,,
572,12035,MCNICOLL AVE AT SILVER SPRINGS BLVD,,43.810171,-79.306214,,,,
573,9179,MCNICOLL AVE AT VICTORIA PARK AVE,,43.803887,-79.336859,,,,
